pickup_hour,trip_distance,fare_amount,total_amount,passenger_count,trip_volume
2024-11-28 20:00:00,3.1408900634249473,16.510088794926006,23.562524312896407,2,4730
2024-11-28 21:00:00,3.211327491785323,16.43134720700986,23.42840744797371,2,4565
2024-11-28 22:00:00,3.517075898801598,17.49701997336884,24.51969640479361,1,3755
2024-11-28 23:00:00,4.05253007518797,18.92362030075188,25.772744360902255,1,2660
2024-11-29 00:00:00,4.056269256530475,18.880576021433356,24.93552578700603,1,1493
2024-11-29 01:00:00,3.461383989145183,17.360610583446405,23.61514246947083,1,737
2024-11-29 02:00:00,3.366551724137931,16.376674876847293,22.900566502463054,1,406
2024-11-29 03:00:00,4.420162337662338,20.82474025974026,29.205454545454547,1,308
2024-11-29 04:00:00,5.680097087378641,24.646537216828477,33.22171521035599,1,309
2024-11-29 05:00:00,6.947126948775056,29.34590200445434,38.80610244988864,1,449
2024-11-29 06:00:00,5.561686746987951,24.483626506024095,32.88687951807229,1,830
2024-11-29 07:00:00,4.283346905537459,20.037084690553748,27.54306188925081,1,1228
2024-11-29 08:00:00,3.5121002024291497,17.498871457489876,25.165126518218624,1,1976
2024-11-29 09:00:00,3.1806370794559773,16.356324266284897,23.508564781675016,1,2794
2024-11-29 10:00:00,3.2850969455511287,17.14316600265604,24.79776626826029,1,3765
2024-11-29 11:00:00,3.076546314205889,17.049492800343863,24.503915753277457,1,4653
2024-11-29 12:00:00,3.1621439141694414,17.5388179800222,25.036185719570845,2,5406
2024-11-29 13:00:00,3.1556855045245005,18.087210175857948,25.724154003756187,2,5857
2024-11-29 14:00:00,3.4570382513661206,19.19129117876659,27.156040593286495,2,6405
2024-11-29 15:00:00,3.3934811217295944,19.363446655177817,27.308615071283093,2,6383
2024-11-29 16:00:00,3.2824621636771303,19.502893778026905,29.95600616591928,2,7136
2024-11-29 17:00:00,3.2038974970202623,18.965445257960155,29.174205687042395,2,5873
2024-11-29 18:00:00,3.006042684913653,17.96838383838384,28.056608015640272,2,6138
2024-11-29 19:00:00,13.403061411549038,18.565935838680108,28.72962969752521,2,5455
2024-11-29 20:00:00,3.352851489273068,17.851928764840657,26.44974796917309,2,4801
2024-11-29 21:00:00,3.3953148366784736,17.8543919716647,26.478309720582445,2,5082
2024-11-29 22:00:00,3.638804325647827,18.7347724954091,27.509485819220565,2,4901
